"Longitude","Latitude","Day_of_Week"
-0.170066,51.519703,"Sat"
-0.151194,51.523004,"Sun"
-0.148291,51.516394,"Tue"
-0.131337,51.508032,"Thu"
-0.170549,51.529243,"Wed"
-0.161845,51.516248,"Sat"
-0.18345,51.498509,"Sat"
-0.144516,51.517054,"Wed"
-0.135702,51.496411,"Wed"
-0.18002,51.501423,"Fri"
-0.189638,51.535025,"Sun"
-0.126425,51.504806,"Sun"
-0.133746,51.516074,"Sat"
-0.151278,51.503132,"Sat"
-0.165158,51.516299,"Fri"
-0.154874,51.503279,"Tue"
-0.184996,51.503119,"Wed"
-0.151194,51.523004,"Wed"
-0.120654,51.50849,"Wed"
-0.12954,51.488579,"Wed"
-0.163227,51.499813,"Sat"
-0.125392,51.512433,"Tue"
-0.147862,51.523402,"Sun"
-0.13356,51.510045,"Thu"
-0.163155,51.50161,"Tue"
-0.180343,51.515007,"Tue"
-0.201915,51.523523,"Thu"
-0.203351,51.531009,"Fri"
-0.11859,51.509626,"Sat"
-0.152242,51.504226,"Sat"
-0.158792,51.513322,"Mon"
-0.189189,51.510018,"Tue"
-0.14605,51.497024,"Wed"
-0.121862,51.507161,"Thu"
-0.122161,51.506896,"Tue"
-0.140306,51.517796,"Sun"
-0.157356,51.498911,"Sun"
-0.141491,51.517006,"Mon"
-0.129543,51.488489,"Mon"
-0.148541,51.527999,"Sun"
-0.167833,51.51787,"Wed"
-0.142122,51.515667,"Fri"
-0.118021,51.512945,"Sat"
-0.171291,51.517924,"Sun"
-0.16162,51.525417,"Mon"
-0.158825,51.512513,"Sat"
-0.163029,51.519054,"Tue"
-0.151566,51.503137,"Tue"
-0.153261,51.503973,"Mon"
-0.11603,51.512283,"Fri"
-0.12051,51.508488,"Sat"
-0.145107,51.523808,"Sun"
-0.171258,51.525927,"Mon"
-0.189595,51.517938,"Tue"
-0.157489,51.513481,"Tue"
-0.154243,51.52602,"Tue"
-0.124181,51.510345,"Thu"
-0.171017,51.506769,"Wed"
-0.192574,51.511869,"Thu"
-0.187889,51.510088,"Sat"
-0.157968,51.51232,"Fri"
-0.138917,51.505904,"Sat"
-0.174519,51.502057,"Sun"
-0.182081,51.522048,"Mon"
-0.139497,51.505823,"Wed"
-0.167649,51.529647,"Fri"
-0.129262,51.509437,"Sat"
-0.137355,51.50534,"Sat"
-0.160264,51.501834,"Tue"
-0.156563,51.514996,"Thu"
-0.146453,51.504854,"Wed"
-0.131275,51.513067,"Fri"
-0.132028,51.508762,"Thu"
-0.183068,51.522603,"Thu"
-0.146487,51.514657,"Thu"
-0.140822,51.515736,"Fri"
-0.119945,51.511716,"Tue"
-0.13447,51.515995,"Wed"
-0.129846,51.512774,"Fri"
-0.199672,51.518273,"Fri"
-0.139289,51.49323,"Thu"
-0.1716,51.520986,"Thu"
-0.15826,51.522936,"Tue"
-0.167689,51.517868,"Sat"
-0.151316,51.50574,"Wed"
-0.116277,51.513276,"Thu"
-0.140956,51.516008,"Thu"
-0.145824,51.495492,"Fri"
-0.14023,51.501968,"Tue"
-0.200855,51.521169,"Sat"
-0.137114,51.514778,"Tue"
-0.123608,51.513754,"Thu"
-0.12987,51.501623,"Fri"
-0.118438,51.509804,"Sun"
-0.133022,51.516152,"Sat"
-0.147339,51.504329,"Sun"
-0.152106,51.504044,"Tue"
-0.134961,51.514564,"Wed"
-0.194733,51.522873,"Thu"
-0.172083,51.519735,"Thu"
-0.145251,51.52381,"Mon"
-0.136153,51.485357,"Sat"
-0.11859,51.509626,"Sat"
-0.147446,51.533647,"Fri"
-0.143951,51.523879,"Mon"
-0.17824,51.513536,"Tue"
-0.188129,51.514948,"Fri"
-0.136157,51.485267,"Wed"
-0.126742,51.490063,"Wed"
-0.134758,51.516,"Thu"
-0.17761,51.511278,"Sat"
-0.204993,51.525909,"Sat"
-0.151819,51.518248,"Mon"
-0.148427,51.502368,"Thu"
-0.125292,51.500831,"Wed"
-0.113257,51.513138,"Wed"
-0.15199,51.514024,"Thu"
-0.134867,51.509796,"Thu"
